ENSGMOG00000000492,ENSGMOT00000000501.1
ENSGMOG00000000493,ENSGMOT00000000506.1
ENSGMOG00000000494,ENSGMOT00000000502.1
ENSGMOG00000000495,ENSGMOT00000000533.1
ENSGMOG00000000496,ENSGMOT00000000521.1
ENSGMOG00000000497,ENSGMOT00000000510.1
ENSGMOG00000000498,ENSGMOT00000000511.1
ENSGMOG00000000499,ENSGMOT00000000517.1
ENSGMOG00000000500,ENSGMOT00000000515.1
ENSGMOG00000000501,ENSGMOT00000000523.1
ENSGMOG00000000502,ENSGMOT00000000558.1
ENSGMOG00000000503,ENSGMOT00000000519.1
ENSGMOG00000000504,ENSGMOT00000000518.1
ENSGMOG00000000505,ENSGMOT00000000535.1
ENSGMOG00000000506,ENSGMOT00000000514.1
ENSGMOG00000000507,ENSGMOT00000000516.1
ENSGMOG00000000508,ENSGMOT00000000524.1
ENSGMOG00000000509,ENSGMOT00000000520.1
ENSGMOG00000000510,ENSGMOT00000000522.1
ENSGMOG00000000511,ENSGMOT00000000531.1
ENSGMOG00000000512,ENSGMOT00000000532.1
