ID	sample_4	sample_9	sample_15	sample_21	sample_34	sample_40	sample_47
ENSGMOG00000006411	2502	2485	1175	1140	1398	1360	2046
ENSGMOG00000006428	0	0	0	0	0	0	0
ENSGMOG00000006439	405	774	1019	933	1134	306	239
ENSGMOG00000006452	2	0	0	0	0	0	0
ENSGMOG00000006465	265	231	116	494	226	245	213
ENSGMOG00000006472	158	488	231	602	299	157	204
ENSGMOG00000006481	719	359	347	120	196	36	289
ENSGMOG00000006525	539	236	77	51	65	23	125
ENSGMOG00000006562	82	159	54	33	68	128	68
ENSGMOG00000006574	11980	10316	4328	5722	5357	4870	10258
ENSGMOG00000006620	347	463	475	287	353	575	325
ENSGMOG00000020453	16	5	25	2	2	26	34
ENSGMOG00000006644	170	125	198	140	103	411	483
ENSGMOG00000006653	0	4	0	0	0	5	6
ENSGMOG00000006662	652	407	419	462	274	821	996
ENSGMOG00000006678	265	340	418	362	428	350	304
ENSGMOG00000006694	4	4	4	1	5	5	1
ENSGMOG00000006718	0	0	0	0	2	1	0
ENSGMOG00000006726	0	0	0	0	0	0	0
ENSGMOG00000006756	15	0	0	0	0	0	2
ENSGMOG00000006784	0	0	0	6	2	0	0
ENSGMOG00000006794	186	156	104	127	77	109	265
ENSGMOG00000006828	993	1150	578	607	568	93	193
ENSGMOG00000006874	1636	1322	839	320	601	682	2655
ENSGMOG00000006952	4326	2105	1044	899	1266	776	2745
ENSGMOG00000007009	83	115	72	68	119	300	537
ENSGMOG00000001240	4	1	0	0	1	0	0
ENSGMOG00000001312	0	0	0	0	0	0	0
ENSGMOG00000019951	6	4	6	1	4	15	12
ENSGMOG00000001318	3	1	3	3	1	8	2
ENSGMOG00000001463	8	1	11	3	6	5	2
ENSGMOG00000001489	4085	4448	1519	1606	2252	2669	3725
ENSGMOG00000001525	5	8	10	0	0	0	3
ENSGMOG00000001551	0	0	0	0	0	0	0
ENSGMOG00000001576	2	1	6	1	6	0	2
ENSGMOG00000001631	2537	1224	506	606	610	1031	1089
ENSGMOG00000001656	42	93	17	44	25	77	49
ENSGMOG00000001768	93	64	72	35	26	114	162
ENSGMOG00000001785	139	220	38	63	57	11	104
ENSGMOG00000001838	830	893	817	265	584	864	2836
ENSGMOG00000001945	749	711	727	872	1018	519	499
ENSGMOG00000001963	31	10	4	2	7	20	19
ENSGMOG00000022086	0	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0	0
ENSGMOG00000001991	0	1	1	0	1	0	3
