ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000012409	1282	588	477	593	802	133
ENSGMOG00000012417	20	29	18	6	5	2
ENSGMOG00000012423	0	0	0	0	0	0
ENSGMOG00000012426	445	427	81	14	101	188
ENSGMOG00000012440	60	55	104	7	28	1
ENSGMOG00000012442	2	2	0	0	1	0
ENSGMOG00000012445	44	22	15	25	13	3
ENSGMOG00000012452	1003	754	1077	593	801	143
ENSGMOG00000012456	241	217	107	117	174	225
ENSGMOG00000012461	1975	1036	1132	919	1024	1064
ENSGMOG00000012463	1222	457	1151	497	794	578
ENSGMOG00000012465	2979	1749	3179	1728	1421	2340
ENSGMOG00000012467	122	52	92	66	25	138
ENSGMOG00000012470	5	3	0	4	4	0
ENSGMOG00000012471	2322	1719	1171	1313	1872	90
ENSGMOG00000012476	1561	1113	1242	956	799	282
ENSGMOG00000012479	5	2	5	9	6	1
ENSGMOG00000012482	4	0	1	2	3	0
ENSGMOG00000012485	0	4	1	2	4	0
ENSGMOG00000012487	0	4	3	6	7	0
ENSGMOG00000012489	937	571	792	541	558	103
ENSGMOG00000012492	29308	14366	26121	18644	22731	39381
ENSGMOG00000012494	2449	2049	1197	2051	4025	352
ENSGMOG00000012498	938	581	565	431	456	497
ENSGMOG00000012500	2175	1012	1318	1457	831	314
ENSGMOG00000012502	1387	897	1010	721	659	87
ENSGMOG00000012507	6553	8102	8137	6649	5318	1708
ENSGMOG00000012510	0	0	0	1	5	0
ENSGMOG00000012512	212	247	99	84	158	57
ENSGMOG00000012513	2759	4410	2165	1968	3793	1301
ENSGMOG00000012514	1	18	1	1	12	13
ENSGMOG00000020725	0	0	0	0	0	0
ENSGMOG00000021692	28	10	17	14	17	35
ENSGMOG00000020595	29	12	18	7	10	5
ENSGMOG00000012516	1369	880	550	580	582	383
ENSGMOG00000012521	998	1029	660	538	537	102
ENSGMOG00000012522	1118	1220	830	883	1084	178
ENSGMOG00000012526	0	5	1	0	0	0
ENSGMOG00000012527	332	476	393	225	258	85
ENSGMOG00000012529	2004	982	735	1487	2215	311
ENSGMOG00000012530	6237	2203	3716	2784	5448	535
ENSGMOG00000012532	2823	1533	1602	1402	1974	332
ENSGMOG00000012534	2072	377	998	636	1149	8
ENSGMOG00000012537	183	86	132	268	324	79
ENSGMOG00000012538	772	760	328	547	870	238
ENSGMOG00000012540	452	309	698	436	354	118
ENSGMOG00000012541	0	3	565	569	3	1
ENSGMOG00000012542	152	59	38	324	241	57
ENSGMOG00000012546	7	2	2	3	8	0
ENSGMOG00000012549	0	0	0	0	0	0
ENSGMOG00000012550	0	0	0	0	0	0
ENSGMOG00000012553	22	2	0	16	0	2
ENSGMOG00000012555	20	27	48	24	46	28
ENSGMOG00000005485	1516	785	787	749	1045	238
ENSGMOG00000005505	192	58	47	124	164	3
ENSGMOG00000005518	65	24	3	5	13	18
ENSGMOG00000005533	5	0	0	0	2	0
ENSGMOG00000005556	24	40	11	8	16	2
ENSGMOG00000005572	641	450	376	303	147	131
ENSGMOG00000005582	113	70	10	11	9	0
ENSGMOG00000005595	10428	1916	3691	9949	16473	11
ENSGMOG00000005607	887	487	800	595	533	601
