ID	sample_1	sample_6	sample_12	sample_18	sample_25	sample_31	sample_38	sample_44
ENSGMOG00000006053	3	8	5	0	0	1	3	0
ENSGMOG00000006061	25	35	12	21	66	46	7	4
ENSGMOG00000006071	282	346	0	75	474	407	184	31
ENSGMOG00000006078	1525	1580	1392	2543	2768	3463	2360	1874
ENSGMOG00000006114	281	207	444	256	475	407	436	439
ENSGMOG00000006149	3	27	11	34	75	15	64	30
ENSGMOG00000006171	1251	839	2900	754	2561	1305	3012	2650
ENSGMOG00000006210	228	337	353	883	348	325	142	141
ENSGMOG00000006238	5	3	4	4	12	17	1	0
ENSGMOG00000006249	162	123	292	350	484	556	93	79
ENSGMOG00000006267	304	353	556	249	372	391	601	498
ENSGMOG00000006293	430	811	514	268	453	542	933	820
ENSGMOG00000006308	0	1	4	4	4	5	1	0
ENSGMOG00000006321	40	229	354	182	254	161	45	44
ENSGMOG00000006328	83	215	80	40	244	303	48	12
ENSGMOG00000006350	1	1	0	1	3	17	0	3
ENSGMOG00000006369	2	0	1	0	0	0	0	2
ENSGMOG00000006397	18	10	67	6	46	75	19	5
ENSGMOG00000006411	2257	1204	2162	1136	1799	1876	2277	2309
ENSGMOG00000006428	0	0	0	0	1	0	0	0
ENSGMOG00000006439	516	823	1004	867	1013	1379	350	351
ENSGMOG00000006452	0	0	3	1	0	0	0	0
ENSGMOG00000006465	203	93	257	350	293	230	223	213
ENSGMOG00000006472	140	313	354	205	421	377	246	170
