ID	sample_3	sample_8	sample_14	sample_20	sample_27	sample_33	sample_39
ENSGMOG00000006114	295	580	444	297	806	373	34
ENSGMOG00000006149	12	37	8	48	95	8	15
ENSGMOG00000006171	1975	2387	2358	811	3254	1068	217
ENSGMOG00000006210	215	243	323	1198	538	287	177
ENSGMOG00000006238	6	9	2	15	19	10	1
ENSGMOG00000006249	126	281	308	278	917	432	15
ENSGMOG00000006267	555	472	508	398	664	333	235
ENSGMOG00000006293	687	596	470	522	796	418	1665
ENSGMOG00000006308	5	8	4	2	15	2	2
ENSGMOG00000006321	661	235	296	272	353	126	118
ENSGMOG00000006328	71	175	61	49	320	418	22
ENSGMOG00000006350	7	8	5	8	0	4	0
ENSGMOG00000006369	1	0	2	0	0	0	0
ENSGMOG00000006397	25	23	76	10	85	57	0
ENSGMOG00000006411	2262	1897	1746	1121	2350	1673	310
ENSGMOG00000006428	0	0	0	0	2	0	0
ENSGMOG00000006439	517	713	1089	990	1616	1134	291
ENSGMOG00000006452	0	0	0	0	0	0	0
ENSGMOG00000006465	218	228	201	594	427	264	146
ENSGMOG00000006472	218	600	369	436	678	282	74
ENSGMOG00000006481	431	275	405	151	155	274	55
ENSGMOG00000006525	146	99	245	54	60	145	6
ENSGMOG00000006562	91	144	56	39	100	96	97
ENSGMOG00000006574	15815	9915	6648	5092	8829	6743	2019
ENSGMOG00000006620	582	486	418	254	1020	364	911
ENSGMOG00000020453	9	13	32	5	11	7	50
ENSGMOG00000006644	150	128	202	167	223	121	635
ENSGMOG00000006653	0	0	0	1	0	2	2
ENSGMOG00000006662	518	418	747	511	744	340	709
ENSGMOG00000006678	316	448	463	375	1041	455	533
ENSGMOG00000006694	6	10	2	0	6	0	3
ENSGMOG00000006718	0	0	0	0	4	0	0
ENSGMOG00000006726	0	0	0	0	0	0	0
ENSGMOG00000006756	4	0	3	0	1	1	0
ENSGMOG00000006784	1	5	2	0	1	0	0
ENSGMOG00000006794	259	132	141	119	192	112	199
ENSGMOG00000006828	1469	1156	762	535	1091	741	22
ENSGMOG00000006874	1481	1330	1115	347	1666	836	196
ENSGMOG00000006952	2443	2115	2083	816	2976	2113	137
ENSGMOG00000007009	107	177	83	101	235	87	176
ENSGMOG00000001240	6	9	1	6	0	5	0
ENSGMOG00000001312	0	0	0	0	0	0	0
ENSGMOG00000019951	4	10	0	1	9	4	10
ENSGMOG00000001318	3	1	2	0	3	3	2
ENSGMOG00000001463	4	3	5	6	5	3	3
ENSGMOG00000001489	5777	3652	2337	1842	2558	2211	1465
ENSGMOG00000001525	3	0	7	0	0	0	10
ENSGMOG00000001551	0	0	0	0	0	0	0
ENSGMOG00000001576	2	3	2	0	6	3	0
ENSGMOG00000001631	1419	1404	814	440	1870	776	257
ENSGMOG00000001656	73	80	55	34	122	16	50
ENSGMOG00000001768	86	71	85	48	78	45	143
ENSGMOG00000001785	87	139	73	49	26	55	3
ENSGMOG00000001838	919	1244	932	318	1211	693	205
ENSGMOG00000001945	821	877	885	1015	1458	1169	420
ENSGMOG00000001963	25	11	19	0	33	4	11
ENSGMOG00000022086	0	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0	0
