ID	sample_5	sample_16	sample_22	sample_28	sample_35	sample_48
ENSGMOG00000001463	3	7	8	6	10	14
ENSGMOG00000001489	4905	2236	2804	1741	3521	3890
ENSGMOG00000001525	0	0	0	2	0	4
ENSGMOG00000001551	0	0	0	0	0	0
ENSGMOG00000001576	5	3	6	2	28	0
ENSGMOG00000001631	2123	1129	732	1384	1290	1519
ENSGMOG00000001656	69	24	38	80	32	36
ENSGMOG00000001768	106	125	24	64	70	129
ENSGMOG00000001785	99	109	100	57	83	163
ENSGMOG00000001838	969	1167	673	1027	813	3552
ENSGMOG00000001945	672	994	949	955	1555	627
ENSGMOG00000001963	19	36	4	19	10	37
ENSGMOG00000022086	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0
ENSGMOG00000001991	0	0	0	0	0	1
ENSGMOG00000019955	1	0	0	1	0	2
ENSGMOG00000002003	306	382	578	371	265	240
ENSGMOG00000002007	29	129	103	114	96	63
ENSGMOG00000002029	4	0	2	0	0	7
ENSGMOG00000002062	1587	1322	866	692	728	1879
ENSGMOG00000002080	1147	1009	594	746	970	1667
ENSGMOG00000002131	108	164	115	70	123	222
ENSGMOG00000002155	437	6	735	1054	194	2099
ENSGMOG00000002187	1370	2810	1607	1911	2635	976
ENSGMOG00000002225	126267	69855	64804	73344	54503	77890
ENSGMOG00000002244	533	690	5277	669	1227	1002
ENSGMOG00000002269	0	0	6	4	2	0
ENSGMOG00000002293	0	1	0	5	4	4
ENSGMOG00000002305	940	1028	1319	941	1332	1241
ENSGMOG00000002345	664	832	353	567	582	950
ENSGMOG00000002390	157	212	126	200	312	245
ENSGMOG00000002400	193	479	247	294	484	323
ENSGMOG00000002409	673	851	829	995	1147	1311
ENSGMOG00000002435	5397	4164	4270	4016	8612	5842
ENSGMOG00000002510	229	224	612	293	391	199
ENSGMOG00000002524	907	722	846	1060	732	571
ENSGMOG00000002535	70	208	166	3	17	24
ENSGMOG00000002545	14357	30127	12470	1949	1685	51073
ENSGMOG00000002552	159	328	880	176	473	407
ENSGMOG00000002562	2182	3214	523	842	708	2146
ENSGMOG00000002587	30	39	4	30	12	24
ENSGMOG00000002593	19	35	7	30	12	9
ENSGMOG00000002677	273	272	151	158	157	585
ENSGMOG00000002709	579	487	1558	648	941	729
ENSGMOG00000002739	0	0	0	0	0	0
ENSGMOG00000002743	260	346	171	362	294	327
ENSGMOG00000002826	2574	1956	1340	2227	1776	1864
ENSGMOG00000002854	0	4	4	0	3	0
ENSGMOG00000002863	0	0	0	1	0	0
ENSGMOG00000002886	28	65	39	39	42	110
ENSGMOG00000002950	1290	1220	717	1310	892	1286
ENSGMOG00000004976	463	369	701	505	291	2788
ENSGMOG00000004983	0	6	0	1	4	1
ENSGMOG00000004992	197	242	250	228	315	219
ENSGMOG00000005009	630	689	670	565	765	687
ENSGMOG00000005048	2	11	2	3	4	0
ENSGMOG00000005068	0	0	0	0	0	0
