,sample_1,sample_2,sample_3
ENSGMOG00000000434,124.0344645,105.8371588,120.64483
ENSGMOG00000000435,0.179629927,0.356821288,0.540947562
ENSGMOG00000000436,21.78012864,37.78340974,21.2457155
ENSGMOG00000000437,77.8022121,68.94580224,76.719888
ENSGMOG00000000438,9.632654831,10.56587481,8.763350507
ENSGMOG00000000439,40.77599341,44.66213124,43.99256049
ENSGMOG00000000440,21.98221231,27.85188388,25.37044066
ENSGMOG00000000441,0.651158485,0.693819171,0.405710672
ENSGMOG00000000442,0.112268704,0.198234049,0.256950092
ENSGMOG00000000443,2.694448904,2.557219232,3.151019549
ENSGMOG00000000444,13.53960574,11.53722165,14.86253427
ENSGMOG00000000445,2.761810126,1.803929846,1.71750851
ENSGMOG00000000446,87.30014448,84.36841125,82.34574265
ENSGMOG00000000447,0.134722445,0.158587239,0.081142134
ENSGMOG00000000448,0.381713595,0.257704264,0.581518629
ENSGMOG00000000449,25.70953329,24.00614333,23.43655313
ENSGMOG00000000450,0.044907482,0.03964681,0.081142134
ENSGMOG00000000451,3.592598538,4.103444814,4.084154094
ENSGMOG00000000452,18.23243758,14.19355791,15.71452668
ENSGMOG00000000453,2.267827827,2.636512852,3.123972171
ENSGMOG00000000454,0.314352372,0.356821288,0.216379025
ENSGMOG00000000455,12.88844726,10.62534503,12.21189122
ENSGMOG00000000456,0.763427189,0.852406411,1.068371435
ENSGMOG00000000457,9.565293608,8.722298156,8.830968952
ENSGMOG00000000458,69.87604157,75.09105776,67.65901633
ENSGMOG00000000459,34.80329834,46.04976958,36.21643928
ENSGMOG00000000460,25.03592106,24.95766677,27.5477546
ENSGMOG00000000461,0.022453741,0.019823405,0.013523689
ENSGMOG00000000462,2.85162509,3.03298095,2.799403634
ENSGMOG00000000463,9.812284758,8.543887512,9.939911454
ENSGMOG00000000464,5.658342698,4.480089507,5.639378335
ENSGMOG00000000465,39.51858392,46.06959299,41.08496734
ENSGMOG00000000466,0.022453741,0,0.027047378
ENSGMOG00000000467,58.87370855,57.38875718,64.48094941
ENSGMOG00000000468,0.022453741,0.019823405,0.027047378
ENSGMOG00000000469,4.468294432,6.442606592,5.084907084
ENSGMOG00000000470,7.409734485,8.999825824,8.912111086
ENSGMOG00000000471,0,0.019823405,0.054094756
ENSGMOG00000000472,0.538889781,0.693819171,0.28399747
ENSGMOG00000000473,38.59798055,30.54786695,38.664227
ENSGMOG00000000474,10.37362828,9.495410947,8.85801633
