	sample_13	sample_14	sample_15
ENSGMOG00000000381	43.64826458	39.98407759	40.24723189
ENSGMOG00000000382	3.72917212	3.583668586	4.52757276
ENSGMOG00000000383	8.390637269	8.616910982	9.055145519
ENSGMOG00000000384	3.813926031	3.281674042	3.641324475
ENSGMOG00000000385	4.441104979	3.925929069	6.203737994
ENSGMOG00000000386	0.898391465	0.704653935	1.136709757
ENSGMOG00000000387	1.152653201	1.006648479	1.579833899
ENSGMOG00000000388	0.135606259	0.100664848	0.038532534
ENSGMOG00000000389	46.07222646	41.33298656	46.10417708
ENSGMOG00000000390	1.966290754	1.509972719	0.732118148
ENSGMOG00000000391	94.39890697	96.27586055	97.1597848
ENSGMOG00000000392	60.4464899	76.02209315	74.32925833
ENSGMOG00000000393	0.745834424	0.402659392	1.098177223
ENSGMOG00000000394	25.71433684	27.44123754	28.03241858
ENSGMOG00000000395	35.1728734	37.32652561	39.18758721
ENSGMOG00000000396	5.186939403	4.992976457	5.818412653
ENSGMOG00000000397	31.07078407	32.95767121	30.63336463
ENSGMOG00000000398	0.033901565	0	0.057798801
ENSGMOG00000000399	4.102089332	3.845397191	4.026649816
ENSGMOG00000000400	72.9392165	72.78068505	69.01176862
ENSGMOG00000000401	2.593469701	2.758216833	3.602791941
ENSGMOG00000000402	51.03880569	47.15141477	43.59956236
ENSGMOG00000000403	0.016950782	0.040265939	0.038532534
ENSGMOG00000000404	3.898679943	3.40247186	4.219312487
ENSGMOG00000000405	43.58046145	48.41979185	44.63994078
ENSGMOG00000000406	68.10824353	63.68058279	65.73650322
ENSGMOG00000000407	350.3557206	302.0146767	286.7783852
ENSGMOG00000000408	16.3405542	15.72384925	16.58825594
ENSGMOG00000000409	0.830588336	0.704653935	0.828449484
ENSGMOG00000000410	0.542425036	0.48319127	0.616520546
ENSGMOG00000000411	0.169507824	0.040265939	0.134863869
ENSGMOG00000000412	9.933158464	10.99260139	12.8120676
ENSGMOG00000000413	44.07203414	37.58825421	38.55180039
ENSGMOG00000000414	37.83414623	34.72937253	36.02791941
ENSGMOG00000000415	0.678031294	0.50332424	0.597254279
ENSGMOG00000000416	190.3403351	178.8814348	171.3927118
ENSGMOG00000000417	13.86573997	14.65680186	14.60383043
ENSGMOG00000000418	0.508523471	0.241595635	0.366059074
ENSGMOG00000000419	0.440720341	0.301994544	0.211928938
ENSGMOG00000000420	8.560145093	8.596778012	11.1166361
ENSGMOG00000000421	103.5014771	84.17594583	95.38728823
ENSGMOG00000000422	53.51361992	54.45968273	53.15563083
ENSGMOG00000000423	0.118655477	0.02013297	0.019266267
ENSGMOG00000000424	29.46045975	31.89062382	32.73338774
ENSGMOG00000000425	1.017046942	1.046914418	0.905514552
ENSGMOG00000000426	2.79687909	2.879014651	2.581679786
ENSGMOG00000000427	38.25791579	39.48075335	44.89040226
ENSGMOG00000000428	0.050852347	0.140930787	0.154130137
ENSGMOG00000000429	44.4958037	47.89633464	48.97485087
ENSGMOG00000000430	1.559471977	1.973031019	1.945892973
ENSGMOG00000000431	0	0.02013297	0.019266267
ENSGMOG00000000432	7.475295022	6.945874507	7.186317614
ENSGMOG00000000433	2.525666572	2.697817924	3.641324475
ENSGMOG00000000434	108.569761	119.2878448	121.8013404
ENSGMOG00000000435	0.525474253	0.543590179	0.500922944
ENSGMOG00000000436	28.81633002	31.34703364	22.79199394
ENSGMOG00000000437	76.4988808	83.71288753	92.76707591
ENSGMOG00000000438	9.814502988	9.120235222	10.03772514
ENSGMOG00000000439	44.56360683	38.8566313	37.01049903
ENSGMOG00000000440	25.40922276	24.76355259	24.66082184
ENSGMOG00000000441	0.610228165	0.422792361	0.751384415
ENSGMOG00000000442	0.322064865	0.241595635	0.231195205
ENSGMOG00000000443	3.000288478	2.798482772	2.889940059
ENSGMOG00000000444	13.84878919	13.60988744	13.42858814
ENSGMOG00000000445	2.067995448	3.140743255	3.313797935
ENSGMOG00000000446	92.2631084	89.67224653	87.6229826
ENSGMOG00000000447	0.033901565	0.100664848	0.134863869
ENSGMOG00000000448	0.661080512	0.664387996	0.577988012
ENSGMOG00000000449	24.27352034	21.36108073	23.42778075
ENSGMOG00000000450	0.101704694	0.02013297	0.057798801
ENSGMOG00000000451	3.254550214	2.758216833	3.236732867
ENSGMOG00000000452	24.10401252	24.01863271	27.08837149
ENSGMOG00000000453	3.322353343	3.38233889	2.947738861
ENSGMOG00000000454	0.339015647	0.322127513	0.269727739
ENSGMOG00000000455	8.000769275	8.69744286	11.1744349
ENSGMOG00000000456	0.949243812	0.96638254	1.078910956
ENSGMOG00000000457	8.763554481	8.677309891	9.016612985
ENSGMOG00000000458	75.07501508	69.37821319	64.34933199
ENSGMOG00000000459	37.51208137	41.25245468	40.4206283
ENSGMOG00000000460	30.96907938	30.78331049	29.09206326
ENSGMOG00000000461	0.016950782	0.02013297	0
ENSGMOG00000000462	2.559568137	2.657551985	2.408283383
ENSGMOG00000000463	12.44187425	10.73087279	11.3478313
ENSGMOG00000000464	5.763266003	5.939226027	5.645016249
ENSGMOG00000000465	44.76701622	41.1719228	39.99677042
ENSGMOG00000000466	0.033901565	0	0
ENSGMOG00000000467	49.07251494	49.16471172	55.64097928
ENSGMOG00000000468	0.033901565	0.060398909	0
ENSGMOG00000000469	5.661561309	4.167524704	4.546839027
ENSGMOG00000000470	8.136375534	7.610262503	9.479003395
ENSGMOG00000000471	0.101704694	0.040265939	0.038532534
ENSGMOG00000000472	0.542425036	0.603989088	0.500922944
ENSGMOG00000000473	33.85071238	36.07828149	34.79487832
